h_earth_char_count_lo,h_earth_char_count_hi,h_earth_char_all_mean,h_earth_char_all_std,h_earth_char_all_sem,h_earth_char_all_nEns,h_earth_xchar_all_mean,h_earth_xchar_all_std,h_earth_xchar_all_sem,h_earth_xchar_all_nEns,h_earth_char_strict_mean,h_earth_char_strict_std,h_earth_char_strict_sem,h_earth_char_strict_nEns
13.0,14.0,0.11,0.3144660377352203,0.03144660377352203,100,0.11,0.3144660377352203,0.03144660377352203,100,0.11,0.3144660377352203,0.03144660377352203,100
14.0,15.0,0.07,0.2564323999762429,0.02564323999762429,100,0.07,0.2564323999762429,0.02564323999762429,100,0.07,0.2564323999762429,0.02564323999762429,100
15.0,16.0,0.1,0.3015113445777634,0.03015113445777634,100,0.1,0.3015113445777634,0.03015113445777634,100,0.1,0.3015113445777634,0.03015113445777634,100
16.0,17.0,0.04,0.19694638556693217,0.019694638556693216,100,0.04,0.19694638556693217,0.019694638556693216,100,0.04,0.19694638556693217,0.019694638556693216,100
17.0,18.0,0.06,0.23868325657594164,0.023868325657594162,100,0.06,0.23868325657594164,0.023868325657594162,100,0.06,0.23868325657594164,0.023868325657594162,100
18.0,19.0,0.03,0.1714466079977653,0.01714466079977653,100,0.03,0.1714466079977653,0.01714466079977653,100,0.03,0.1714466079977653,0.01714466079977653,100
19.0,20.0,0.01,0.09999999999999996,0.009999999999999997,100,0.01,0.09999999999999996,0.009999999999999997,100,0.01,0.09999999999999996,0.009999999999999997,100
20.0,21.0,0.01,0.09999999999999996,0.009999999999999997,100,0.01,0.09999999999999996,0.009999999999999997,100,0.01,0.09999999999999996,0.009999999999999997,100
21.0,22.0,0.01,0.09999999999999999,0.009999999999999998,100,0.01,0.09999999999999999,0.009999999999999998,100,0.01,0.09999999999999999,0.009999999999999998,100
22.0,23.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
23.0,24.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
24.0,25.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
25.0,26.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
26.0,27.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
27.0,28.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
28.0,29.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
29.0,30.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
30.0,31.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
31.0,32.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
32.0,33.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
33.0,34.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
34.0,35.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
35.0,36.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
36.0,37.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
37.0,38.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
38.0,39.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
39.0,40.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
40.0,41.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
41.0,42.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
42.0,43.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
43.0,44.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
44.0,45.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
45.0,46.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
46.0,47.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
47.0,48.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
48.0,49.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
49.0,50.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
50.0,51.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
51.0,52.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
52.0,53.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
53.0,54.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
54.0,55.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
55.0,56.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
56.0,57.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
57.0,58.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
58.0,59.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
59.0,60.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
